,status,cpc,date,ts_clicks,tr_clicks,tr_conversions,impressions,lp_clicks,cost,tr_revenue,TR.NET,TR.ROI,LP.CTR,CTR,Status_Algo,Reason,Coeff_Performance,Bid_suggestion,EPC
418,RUNNING,0.752,11/15/2019,2,2,0,1202,0,3.29,0,-3.29,-1,0,0.001663894,RUNNING,NED,1,No Sugg,0
419,RUNNING,0.38,11/13/2019,7,5,0,7616,0,3.27,0,-3.27,-1,0,0.000919118,RUNNING,NED,1,No Sugg,0
420,RUNNING,NA,11/12/2019,12,0,0,10886,0,3.26,0,-3.26,-1,0,0.001102333,RUNNING,NED,1,No Sugg,0
421,RUNNING,0.176,11/13/2019,9,12,0,13114,1,3.26,0,-3.26,-1,0.083333333,0.000686289,RUNNING,NED,1,No Sugg,0
422,RUNNING,NA,11/13/2019,10,0,0,7551,0,3.25,0,-3.25,-1,0,0.001324328,RUNNING,NED,1,No Sugg,0
423,RUNNING,NA,11/12/2019,18,0,0,2675,0,3.24,0,-3.24,-1,0,0.006728972,RUNNING,NED,1,No Sugg,0
424,RUNNING,0.6,11/17/2019,5,6,0,10363,1,3.24,0,-3.24,-1,0.166666667,0.000482486,RUNNING,NED,1,No Sugg,0
425,RUNNING,0.332,11/13/2019,10,8,1,3625,1,3.23,25,21.77,6.73993808,0.125,0.002758621,RUNNING,GP1,1,Increase Bid 3,3.125
426,RUNNING,0.4,11/24/2019,8,8,0,4584,0,3.2,0,-3.2,-1,0,0.001745201,RUNNING,NED,1,No Sugg,0
427,RUNNING,0.4,11/24/2019,8,8,0,5879,0,3.2,0,-3.2,-1,0,0.001360776,RUNNING,NED,1,No Sugg,0
428,RUNNING,0.5,11/13/2019,4,0,0,17308,0,3.2,0,-3.2,-1,0,0.000231107,RUNNING,NED,1,No Sugg,0
429,RUNNING,1.19,11/15/2019,6,6,1,3784,0,3.17183,79.96,76.78817,24.20942169,0,0.001585624,RUNNING,GP1,1,Increase Bid 3,13.32666667
430,RUNNING,0.054,11/11/2019,7,6,0,22079,1,3.15,0,-3.15,-1,0.166666667,0.000317043,RUNNING,NED,1,No Sugg,0
431,RUNNING,NA,11/13/2019,10,0,0,9512,0,3.15,0,-3.15,-1,0,0.001051304,RUNNING,NED,1,No Sugg,0
432,RUNNING,NA,11/13/2019,13,13,0,9316,0,3.12,0,-3.12,-1,0,0.001395449,RUNNING,NED,1,No Sugg,0
433,RUNNING,0.2,11/13/2019,6,7,0,2951,1,3.12,0,-3.12,-1,0.142857143,0.002033209,RUNNING,NED,1,No Sugg,0
434,RUNNING,0.015,11/14/2019,188,0,0,11168,0,3.11,0,-3.11,-1,0,0.016833811,PAUSED,PB,1,No Sugg,0
435,RUNNING,0.35,11/11/2019,8,3,1,4234,2,3.09,14,10.91,3.530744337,0.666666667,0.001889466,RUNNING,GP1,1,Increase Bid 2,4.666666667
436,RUNNING,0.332,11/13/2019,7,8,0,12300,2,3.09,0,-3.09,-1,0.25,0.000569106,RUNNING,NED,1,No Sugg,0
437,RUNNING,0.321,11/13/2019,10,11,0,6582,3,3.09,0,-3.09,-1,0.272727273,0.001519295,RUNNING,NED,1,No Sugg,0
438,PAUSED,0.166,11/13/2019,21,21,0,17047,0,3.09,0,-3.09,-1,0,0.001231888,PAUSED,PB,1,No Sugg,0
439,RUNNING,NA,11/20/2019,11,10,0,2938,0,3.08,0,-3.08,-1,0,0.003744044,RUNNING,NED,1,No Sugg,0
440,RUNNING,0.1,11/14/2019,28,26,0,8608,0,3.08,0,-3.08,-1,0,0.003252788,PAUSED,PB,1,No Sugg,0
441,RUNNING,NA,11/12/2019,15,0,0,11987,0,3.07,0,-3.07,-1,0,0.001251356,RUNNING,NED,1,No Sugg,0
442,RUNNING,0.34,11/24/2019,9,10,2,2330,4,3.06,28,24.94,8.150326797,0.4,0.003862661,RUNNING,GP1,1,Increase Bid 3,2.8
443,PAUSED,6,11/13/2019,51,52,0,0,0,3.06,0,-3.06,-1,0,51,PAUSED,PB,1,No Sugg,0
444,RUNNING,NA,11/16/2019,17,2,0,17,0,3.06,0,-3.06,-1,0,1,RUNNING,NED,1,No Sugg,0
445,PAUSED,0.436,11/13/2019,7,8,0,754,0,3.05,0,-3.05,-1,0,0.00928382,RUNNING,NED,1,No Sugg,0
446,PAUSED,NA,11/13/2019,8,0,0,10700,0,3.05,0,-3.05,-1,0,0.000747664,RUNNING,NED,1,No Sugg,0
